RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2023-05-03;A1DM34;BRA1DMBDR002;A1DM;1;408,37;1;408,37
2023-05-03;A1ES34;BRA1ESBDR007;A1ES;9;117,7433333;1;1059,69
2023-05-03;A1MD34;BRA1MDBDR002;A1MD;5000;56,12;1;280600
2023-05-03;A1NS34;BRA1NSBDR008;A1NS;3;402,4966666;1;1207,49
2023-05-03;A1RE34;BRA1REBDR009;A1RE;8;154,59125;1;1236,73
2023-05-03;A1UT34;BRA1UTBDR001;A1UT;4;256,39;1;1025,56
2023-05-03;A1WK34;BRA1WKBDR006;A1WK;135;185,3611111;1;25023,75
2023-05-03;A1ZN34;BRA1ZNBDR003;A1ZN;1;58,87;1;58,87
2023-05-03;A2MC34;BRA2MCBDR002;A2MC;275;4,2170909;1;1159,7
2023-05-03;AALL34;BRAALLBDR003;AALL;1;71,73;1;71,73
2023-05-03;AALR3;BRAALRACNOR6;AALR;439559;22,5952562;1;9931948,23
2023-05-03;AAPL34;BRAAPLBDR004;AAPL;1589967;41,5346306;1;66038692,07
2023-05-03;ABBV34;BRABBVBDR001;ABBV;3207;51,2830495;1;164464,74
2023-05-03;ABCB4;BRABCBACNPR4;ABCB;4681108;16,54828;1;77464285,92
2023-05-03;ABEV3;BRABEVACNOR1;ABEV;286090675;14,3171686;1;4096008454,37
2023-05-03;ABUD34;BRABUDBDR009;ABUD;46000;54,58;1;2510680
2023-05-03;ACWI11;BRACWICTF001;ACWI;150;9,4246666;1;1413,7
2023-05-03;ADBE34;BRADBEBDR003;ADBE;25258;38,0238704;1;960406,92
2023-05-03;ADPR34;BRADPRBDR005;ADPR;1;47,1;1;47,1
2023-05-03;AERI3;BRAERIACNOR4;AERI;21451773;1,3361345;1;28662455,84
2023-05-03;AESB3;BRAESBACNOR7;AESB;58949613;10,2019852;1;601403083,61
2023-05-03;AGRO3;BRAGROACNOR7;AGRO;4560768;24,1325624;1;110063018,71
